time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-12 00:00:00+00:00,77,38,40,7
2026-08-13 00:00:00+00:00,90,36,1,1
2026-08-14 00:00:00+00:00,42,22,12,5
2026-08-15 00:00:00+00:00,48,22,3,2
2026-08-16 00:00:00+00:00,69,21,7,3
2026-08-17 00:00:00+00:00,41,23,7,3
2026-08-18 00:00:00+00:00,30,11,50,15
2026-08-19 00:00:00+00:00,252,101,12,6
2026-08-20 00:00:00+00:00,58,17,16,5
2026-08-21 00:00:00+00:00,80,43,6,4
2026-08-22 00:00:00+00:00,120,13,6,2
2026-08-23 00:00:00+00:00,27,11,0,0
2026-08-24 00:00:00+00:00,30,11,9,4
2026-08-25 00:00:00+00:00,41,8,4,2
